Light,Temp_Air,Temp_Soil,Soil_Moisture_1,Soil_Moisture_2,Soil_Moisture_3
1.0,-0.015625,0.59375,0.5,0.5,-0.25
0.0,0.015625,0.59375,0.0,-0.75,-1.0
0.25,0.0,-1.1875,0.0,0.25,2.0
-0.25,-0.015625,0.59375,0.0,1.0,-1.0
0.0,0.015625,0.0,0.75,-1.0,-0.75
-0.75,0.21875,0.25,-13.25,2.75,2.75
2.25,-0.46875,-0.6500000000000004,25.0,-5.0,-4.25
-2.25,0.28125,0.8937500000000007,-12.0,1.75,2.5
-3.0,-0.03125,-0.8375000000000004,-1.0,1.5,-0.25
6.5,-0.03125,0.34375,-0.25,-1.25,1.0
-1.75,-0.41249999999999964,0.7999999999999998,1.25,2.25,-2.0
