minute,class,TVC,MQ135,MQ136,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,Humidity,Temperature
111,excellent,2.624629715,21.35,31.29,25.82,14.3,39.83,6.26,2.23,1.45,29.46,14.17,56.5,33.8
112,excellent,2.625543979,21.54,31.97,26.2,14.36,40.67,6.36,2.24,1.47,29.77,14.29,56.5,33.8
113,excellent,2.626468069,21.74,32.49,26.46,14.42,40.96,6.41,2.24,1.47,29.93,14.23,56.5,33.9
114,excellent,2.627402069,21.93,32.85,26.72,14.47,41.54,6.28,2.24,1.47,30.09,14.23,56.5,33.9
115,excellent,2.628346065,21.93,33.21,26.72,14.47,41.25,6.26,2.24,1.47,30.09,14.23,56.5,33.9
116,excellent,2.62930014,22.03,33.4,26.85,14.47,41.54,6.31,2.24,1.47,30.09,14.23,56.5,33.9
117,excellent,2.63026438,22.03,33.21,26.98,14.42,41.54,6.31,2.24,1.47,30.09,14.29,56.5,33.9
118,excellent,2.631238871,22.14,33.77,27.39,14.59,41.83,6.36,2.24,1.48,30.41,14.4,56.5,34.1
119,excellent,2.632223698,22.14,33.96,27.53,14.59,42.44,6.36,2.24,1.49,30.57,14.46,56.5,34.1
120,excellent,2.633218946,22.34,34.15,27.53,14.59,42.74,6.36,2.26,1.49,30.73,14.4,56.5,34.1
121,excellent,2.634224703,22.24,33.96,27.67,14.53,42.44,6.36,2.26,1.49,30.57,14.4,56.5,34.1
122,excellent,2.635241054,22.34,33.77,27.53,14.59,42.74,6.36,2.27,1.49,30.57,15,56.5,34.1
123,excellent,2.636268085,22.44,33.96,27.53,14.59,43.05,6.41,2.27,1.49,30.73,15,56.5,34.1
124,excellent,2.637305884,22.54,33.96,27.67,14.65,43.05,6.41,2.27,1.49,30.73,15.06,56.5,34.1
125,excellent,2.638354537,22.75,34.53,27.95,14.71,44.01,6.52,2.27,1.5,31.06,15.18,56.5,34.3
126,excellent,2.639414131,22.75,34.93,28.09,14.71,44.34,6.52,2.27,1.5,31.23,15.18,56.5,34.3
127,excellent,2.640484752,22.75,34.93,27.95,14.65,44.01,6.52,2.27,1.5,31.06,15.31,56.5,34.3
128,excellent,2.64156649,22.65,34.93,27.95,14.59,44.01,6.46,2.26,1.5,31.06,15.12,56.5,34.3
129,excellent,2.642659429,22.65,34.73,28.09,14.59,44.01,6.41,2.26,1.5,30.9,15.06,56.5,34.3
130,excellent,2.643763659,19.54,28.49,24.96,13.41,31.82,5.34,2.26,1.56,26.2,13.72,56.5,34.5
131,excellent,2.644879266,21.74,31.8,27.12,14.53,39.29,5.96,2.38,1.63,29.93,14.88,56.5,34.4
